entry_time_ms,exit_time_ms,entry_price,exit_price,pnl_points
1713188700000,1713193200000,502.823565062,498.95764397,-3.8659210920000078
1716471900000,1716476400000,519.156105433,516.481200435,-2.674904997999988
1721655900000,1721660400000,542.122964466,542.358018594,0.23505412800000158
1721920500000,1721925000000,532.662035814,534.885256108,2.2232202940000434
1722269700000,1722274200000,535.325982598,534.052772738,-1.2732098599999517
1722952800000,1722957300000,511.115407414,513.701002822,2.5855954079999606
1723125600000,1723130100000,514.22987461,515.757726442,1.5278518320000103
1725559200000,1725563700000,539.341490618,538.146632134,-1.1948584839999512
1725889500000,1725894000000,533.455343496,532.113576182,-1.3417673139999806
1726071300000,1726075800000,534.855874342,537.568790736,2.71291639399999
1726753500000,1726758000000,557.450452396,558.165408702,0.7149563060000901
1732891500000,1732896000000,589.75166656,591.195787945,1.4441213850000167
1734709500000,1734714000000,580.094954361,585.881019818,5.786065457000063
1737125100000,1737129600000,587.635567776,589.587255954,1.9516881780000404
1738182600000,1738250100000,594.732615696,595.048040048,0.3154243519999227
1738682100000,1738686600000,591.874082506,593.362491167,1.488408660999994
1738938660000,1738943100000,598.152998513,595.807029895,-2.3459686179999153
1741196700000,1741201200000,570.908220109,573.135904595,2.2276844860000438
1741371300000,1741375800000,565.289723839,568.325683227,3.0359593880000375
1741717800000,1741722300000,550.474636306,551.49976545,1.0251291440000614
1741959900000,1741964400000,550.247925053,552.239041275,1.9911162219999596
1744047000000,1744051500000,499.898936765,500.887602265,0.9886655000000246
1744119900000,1744124400000,513.80946035,511.97054252,-1.838917830000014
1744379100000,1744383600000,519.632700145,517.21046967,-2.422230474999992
1744898400000,1744902900000,522.737109815,522.282323685,-0.45478613000000223
1745347500000,1745415060000,520.107259585,534.264949545,14.157689960000084
1745503200000,1745507700000,533.36526394,537.33969925,3.97443530999999
1746193500000,1746198000000,558.33895447,559.36716659,1.0282121200000347
1746647100000,1746714600000,555.61023769,558.04235482,2.4321171300000515
1748353500000,1748358000000,578.972403455,581.364973965,2.3925705100000414
1748527200000,1748531700000,584.53859022,582.9171788,-1.6214114199999585
1748629800000,1748634300000,581.61214034,583.203891795,1.5917514550000078
1749217500000,1749222000000,593.61453951,592.48746084,-1.1270786699999462
1750256100000,1750260600000,593.288279895,593.31793986,0.029659965000064403
1751291100000,1751295600000,611.2151514,610.818516,-0.3966353999999228
1752068700000,1752073200000,618.820635195,616.202841555,-2.617793640000059
1754315100000,1754319600000,622.49942853,623.897568315,1.3981397849998984
1754659860000,1754664300000,628.74643608,631.14608025,2.3996441699999878
1755870300000,1755874800000,634.0216869,640.20919914,6.187512240000046
1756992660000,1756997100000,638.99946117,639.91172259,0.9122614199999362
1757598300000,1757602800000,648.369972495,651.11667264,2.7467001450000907
1760364000000,1760368500000,659.126640864,657.714681188,-1.4119596760000377
1760710500000,1760715000000,659.365281936,655.676288698,-3.6889932379999664
1763564400000,1763568900000,661.910786704,658.539981562,-3.3708051419999947
1763584200000,1763651700000,659.753073678,669.348433448,9.595359770000073
1763743500000,1763748000000,653.62795283,656.431985426,2.8040325959999564
1764085500000,1764090000000,666.623947876,667.916587016,1.2926391400000057
1766069100000,1766073600000,672.460710762,676.179534134,3.718823372000088
1766155500000,1766160000000,677.559558924,677.110784544,-0.44877438000003167
1769007600000,1769012100000,680.631170236,682.316567352,1.68539711599999
1769023800000,1769028300000,682.53596816,683.573135616,1.0371674559999065
1769438700000,1769443200000,690.304751316,691.092599672,0.7878483560000404
1770389100000,1770393600000,683.692808784,683.922182356,0.22937357199998587
1771353000000,1771357500000,680.551388124,682.845123844,2.2937357199999724
1771944300000,1771948800000,682.476131576,683.503326268,1.02719469200008
1772469900000,1772474400000,684.58038478,685.338314844,0.7579300639999929
